key,parent_key,has_parent
SPARK-10003,,0
SPARK-10004,,0
SPARK-10006,,0
SPARK-10005,,0
SPARK-10000,,0
SPARK-10008,,0
SPARK-10007,SPARK-9427,1
SPARK-1000,,0
SPARK-10002,,0
SPARK-10001,,0
SPARK-10009,,0
SPARK-10010,,0
SPARK-10011,,0
SPARK-1001,,0
SPARK-10012,,0
SPARK-10015,SPARK-10014,1
SPARK-10014,,0
SPARK-10013,,0
SPARK-10016,SPARK-10014,1
SPARK-10017,SPARK-10014,1
SPARK-10019,SPARK-10014,1
SPARK-10018,SPARK-10014,1
SPARK-1002,,0
SPARK-10020,SPARK-10014,1
SPARK-10021,,0
SPARK-10023,SPARK-10022,1
SPARK-10024,SPARK-10022,1
SPARK-10022,,0
SPARK-10025,,0
SPARK-10026,SPARK-10022,1
SPARK-10029,SPARK-8757,1
SPARK-10027,SPARK-10022,1
SPARK-10028,,0
SPARK-1003,,0
SPARK-10032,SPARK-8757,1
SPARK-10030,,0
SPARK-10034,,0
SPARK-10031,,0
SPARK-10033,,0
SPARK-10035,,0
SPARK-10036,,0
SPARK-10037,,0
SPARK-10039,,0
SPARK-10038,,0
SPARK-1004,SPARK-1101,1
SPARK-10043,SPARK-9427,1
SPARK-10042,,0
SPARK-10041,,0
SPARK-10044,,0
SPARK-10040,,0
SPARK-10047,,0
SPARK-10045,,0
SPARK-10046,,0
SPARK-10048,SPARK-6819,1
SPARK-10051,SPARK-6819,1
SPARK-10049,SPARK-6819,1
SPARK-1005,,0
SPARK-10053,,0
SPARK-10050,SPARK-6819,1
SPARK-10052,,0
SPARK-10054,,0
SPARK-10055,SPARK-9941,1
SPARK-10056,,0
SPARK-10057,,0
SPARK-10058,,0
SPARK-10060,SPARK-7772,1
SPARK-1006,,0
SPARK-10061,SPARK-7772,1
SPARK-10059,,0
SPARK-10062,,0
SPARK-10063,,0
SPARK-10064,,0
SPARK-10065,,0
SPARK-10066,,0
SPARK-10068,,0
SPARK-10070,,0
SPARK-10069,,0
SPARK-1007,,0
SPARK-10067,,0
SPARK-10071,,0
SPARK-10073,,0
SPARK-10072,,0
SPARK-10074,,0
SPARK-10075,SPARK-9427,1
SPARK-10076,,0
SPARK-10077,,0
SPARK-10078,,0
SPARK-10079,SPARK-9427,1
SPARK-1008,,0
SPARK-10080,,0
SPARK-10081,,0
SPARK-10082,,0
SPARK-10083,,0
SPARK-10084,SPARK-8757,1
SPARK-10085,,0
SPARK-10086,,0
SPARK-10087,,0
SPARK-10088,,0
SPARK-10089,,0
SPARK-1009,,0
SPARK-10090,,0
SPARK-10091,,0
SPARK-10093,,0
SPARK-10092,,0
SPARK-10094,,0
SPARK-10095,,0
SPARK-10097,,0
SPARK-10096,,0
SPARK-10098,,0
SPARK-10099,,0
SPARK-1010,,0
SPARK-10100,SPARK-4366,1
SPARK-10101,,0
SPARK-10102,,0
SPARK-10103,,0
SPARK-10105,,0
SPARK-10104,,0
SPARK-10106,,0
SPARK-10108,SPARK-7751,1
SPARK-10107,,0
SPARK-10109,,0
SPARK-1011,,0
SPARK-10111,,0
SPARK-10110,,0
SPARK-10112,,0
SPARK-10113,,0
SPARK-10114,,0
SPARK-10115,,0
SPARK-10116,,0
SPARK-10117,,0
SPARK-10119,,0
SPARK-10118,,0
SPARK-10120,,0
SPARK-1012,,0
SPARK-10121,,0
SPARK-10122,,0
SPARK-10123,,0
SPARK-10124,,0
SPARK-10126,,0
SPARK-10125,,0
SPARK-10127,,0
SPARK-10128,,0
SPARK-1013,,0
SPARK-10129,,0
SPARK-10130,,0
SPARK-10132,,0
SPARK-10131,,0
SPARK-10134,,0
SPARK-10135,,0
SPARK-10133,,0
SPARK-10136,,0
SPARK-10138,,0
SPARK-10137,,0
SPARK-10139,,0
SPARK-1014,,0
SPARK-10140,,0
SPARK-10141,,0
SPARK-10143,,0
SPARK-10142,,0
SPARK-10144,,0
SPARK-10145,,0
SPARK-10146,SPARK-9932,1
SPARK-10147,,0
SPARK-10148,,0
SPARK-10149,,0
SPARK-1015,,0
SPARK-10150,,0
SPARK-10151,,0
SPARK-10152,,0
SPARK-10153,,0
SPARK-10154,,0
SPARK-10155,,0
SPARK-10156,,0
SPARK-10157,,0
SPARK-10158,,0
SPARK-10159,,0
SPARK-1016,,0
SPARK-10160,,0
SPARK-10161,,0
SPARK-10162,,0
SPARK-10163,,0
SPARK-10164,,0
SPARK-10165,,0
SPARK-10166,,0
SPARK-10167,SPARK-4366,1
SPARK-10168,,0
SPARK-10169,,0
SPARK-1017,,0
SPARK-10171,,0
SPARK-10170,,0
SPARK-10172,,0
SPARK-10173,,0
SPARK-10175,,0
SPARK-10174,,0
SPARK-10176,,0
SPARK-10177,,0
SPARK-10178,,0
SPARK-10180,,0
SPARK-1018,,0
SPARK-10179,,0
SPARK-10181,,0
SPARK-10182,,0
SPARK-10183,,0
SPARK-10184,,0
SPARK-10185,,0
SPARK-10186,,0
SPARK-10187,,0
SPARK-10189,,0
SPARK-1019,,0
SPARK-10188,,0
SPARK-10190,,0
SPARK-10191,,0
SPARK-10192,SPARK-8987,1
SPARK-10193,,0
SPARK-10194,,0
SPARK-10195,,0
SPARK-10196,,0
SPARK-10199,,0
SPARK-10197,,0
SPARK-10198,,0
SPARK-1020,,0
SPARK-10200,SPARK-10199,1
SPARK-10201,SPARK-10199,1
SPARK-10202,SPARK-10199,1
SPARK-10203,SPARK-10199,1
SPARK-10204,SPARK-10199,1
SPARK-10205,SPARK-10199,1
SPARK-10206,SPARK-10199,1
SPARK-10208,SPARK-10199,1
SPARK-10207,SPARK-10199,1
SPARK-10209,SPARK-10199,1
SPARK-1021,SPARK-2992,1
SPARK-10210,,0
SPARK-10211,SPARK-10199,1
SPARK-10212,SPARK-10199,1
SPARK-10214,,0
SPARK-10213,SPARK-10199,1
SPARK-10215,,0
SPARK-10216,,0
SPARK-10217,,0
SPARK-10218,,0
SPARK-10219,,0
SPARK-1022,,0
SPARK-10220,,0
SPARK-10221,,0
SPARK-10222,,0
SPARK-10223,,0
SPARK-10224,,0
SPARK-10226,,0
SPARK-10225,,0
SPARK-10227,,0
SPARK-10228,,0
SPARK-10229,,0
SPARK-1023,,0
SPARK-10230,,0
SPARK-10231,SPARK-7751,1
SPARK-10232,,0
SPARK-10233,SPARK-7751,1
SPARK-10234,SPARK-7751,1
SPARK-10235,SPARK-7751,1
SPARK-10236,SPARK-7751,1
SPARK-10237,SPARK-7751,1
SPARK-10239,SPARK-7751,1
SPARK-10238,SPARK-7751,1
SPARK-1024,,0
SPARK-10240,SPARK-7751,1
SPARK-10241,SPARK-7751,1
SPARK-10242,SPARK-7751,1
SPARK-10243,SPARK-7751,1
SPARK-10244,SPARK-7751,1
SPARK-10245,,0
SPARK-10246,,0
SPARK-10248,,0
SPARK-10247,,0
SPARK-10249,,0
SPARK-1025,,0
SPARK-10250,,0
SPARK-10253,,0
SPARK-10252,SPARK-9565,1
SPARK-10251,,0
SPARK-10254,,0
SPARK-10255,,0
SPARK-10257,,0
SPARK-10256,,0
SPARK-10258,SPARK-7751,1
SPARK-10259,SPARK-7751,1
SPARK-1026,,0
SPARK-10260,SPARK-7751,1
SPARK-10261,SPARK-7751,1
SPARK-10262,SPARK-7751,1
SPARK-10263,SPARK-7751,1
SPARK-10265,SPARK-7751,1
SPARK-10266,SPARK-7751,1
SPARK-10264,SPARK-7751,1
SPARK-10267,SPARK-7751,1
SPARK-10268,SPARK-7751,1
SPARK-10269,SPARK-7751,1
SPARK-1027,,0
SPARK-10270,,0
SPARK-10271,SPARK-7751,1
SPARK-10273,SPARK-7751,1
SPARK-10272,SPARK-7751,1
SPARK-10274,SPARK-7751,1
SPARK-10275,SPARK-7751,1
SPARK-10276,SPARK-7751,1
SPARK-10277,SPARK-7751,1
SPARK-10278,SPARK-7751,1
SPARK-1028,,0
SPARK-10279,SPARK-7751,1
SPARK-10280,SPARK-7751,1
SPARK-10281,SPARK-7751,1
SPARK-10284,SPARK-7751,1
SPARK-10283,SPARK-7751,1
SPARK-10282,SPARK-7751,1
SPARK-10285,SPARK-7751,1
SPARK-10286,SPARK-7751,1
SPARK-10287,,0
SPARK-10288,,0
SPARK-10289,SPARK-6774,1
SPARK-1029,,0
SPARK-10290,,0
SPARK-10292,,0
SPARK-10291,,0
SPARK-10294,,0
SPARK-10293,,0
SPARK-10295,,0
SPARK-10296,,0
SPARK-10298,,0
SPARK-10297,SPARK-9932,1
SPARK-10299,,0
SPARK-1030,,0
SPARK-10300,,0
SPARK-10302,,0
SPARK-10304,,0
SPARK-10301,,0
SPARK-10305,,0
SPARK-10306,,0
SPARK-10307,,0
SPARK-10308,,0
SPARK-10309,,0
SPARK-1031,,0
SPARK-10310,,0
SPARK-10313,,0
SPARK-10311,,0
SPARK-10312,,0
SPARK-10314,,0
SPARK-10315,,0
SPARK-10317,,0
SPARK-10316,,0
SPARK-10318,,0
SPARK-10319,,0
SPARK-1032,,0
SPARK-10322,,0
SPARK-10320,,0
SPARK-10321,,0
SPARK-10323,,0
SPARK-10324,,0
SPARK-10325,,0
SPARK-10327,,0
SPARK-10326,,0
SPARK-10328,,0
SPARK-10329,,0
SPARK-10330,,0
SPARK-1033,,0
SPARK-10331,,0
SPARK-10332,,0
SPARK-10333,,0
SPARK-10334,,0
SPARK-10336,,0
SPARK-10335,,0
SPARK-1034,,0
SPARK-10337,,0
SPARK-10338,,0
SPARK-10339,,0
SPARK-10340,,0
SPARK-10341,,0
SPARK-10342,,0
SPARK-10344,,0
SPARK-10343,,0
SPARK-10345,,0
SPARK-10346,,0
SPARK-10349,,0
SPARK-10348,,0
SPARK-10347,,0
SPARK-1035,,0
SPARK-10350,,0
SPARK-10351,,0
